Accession,tp8,tp10,tp12,tp14,tp16,tp18,tp20,tp22,tp26,tp28,tp30,tp32,tp34,tp36,tp38,tp40,tp42,tp44,tp46,tp48,tp2,tp4,tp6
PF3D7_0624300.1,0,0,1.086178,0,0,0,1.58211,1.57187,1.562083,1.484279,2.925306,3.307796,5.049585,2.975383,4.372086,2.281399,3.576253,4.646357,3.67228,1.540339,0,0,0
PF3D7_0624400.1,3.981921,3.812782,6.806152,8.040566,10.227395,12.928542,11.335163,12.987891,20.00178,22.619335,23.327021,23.985178,26.841892,24.963463,24.557245,16.362782,16.718769,8.949991,8.632634,4.045667,2.819423,3.2782,2.663966
PF3D7_0624500.1,1.468672,0.948428,0.708003,1.06517,1.124146,1.341777,0.918671,2.359789,3.382471,7.054114,10.391378,10.64158,15.40705,17.391691,18.286299,19.441671,21.115229,14.177987,12.112041,7.036065,5.818069,3.930195,1.530841
PF3D7_0624600.1,201.371689,132.937714,141.997925,163.759552,146.335831,181.01149,122.840843,118.337791,155.743637,171.610275,159.631927,163.746048,191.582199,192.17984,238.398666,243.586655,272.679047,182.274033,226.083786,86.858627,88.337959,158.33812,66.639069
PF3D7_0624700.1,0,0,0,0,0,0,0,0,0,3.924271,3.127842,4.520689,13.773015,7.635221,14.86799,9.002676,10.008173,5.654726,4.870042,0,0,1.690894,0.724424
PF3D7_0624800.1,0,0,0,0,0.304177,0,0,0,0,0.259772,0,0,0,0,0.754531,1.018398,0.272984,0.481356,0,0,0,0.351417,0
PF3D7_0624900.1,0,0.118858,0.124263,0.128113,0.125807,0,0,0,0.098674,0.442152,1.013538,0.228641,1.634092,0.523058,0.299832,0.352437,0.563455,0.538653,0.119564,0,0.148407,0.28444,0
PF3D7_0625000.1,0.696591,0.035137,0.295875,0.286907,0.320957,0.251736,0,0.911328,0,0.349193,0,0,0.149913,0.454046,1.712406,3.039108,4.517272,5.539518,6.500041,5.389096,3.372405,4.178697,1.049734
PF3D7_0625000.2,0,0.00213,0,0,0,0.054645,0,0,0,0.786709,0,2.90829,1.707888,2.018616,3.399775,8.988939,14.076663,16.780146,13.167873,11.289375,7.048316,4.892241,2.757878
PF3D7_0625100.1,0,0,0.067194,0.171314,0.3574,0,0.171355,0,0,0,0,0,0,0.210821,0.159414,0.154277,0,0.05047,0.271053,0,0,0,0
PF3D7_0625200.1,0.275222,0.123681,0.22029,0.305525,0.202848,0.303363,0.161101,0.236581,0.330261,0.841034,1.104592,0.671434,1.096041,1.174707,1.526416,2.205668,2.400433,1.065456,1.121357,0.409132,0.278023,0.385762,0.272818
