Accession,tp8,tp10,tp12,tp14,tp16,tp18,tp20,tp22,tp26,tp28,tp30,tp32,tp34,tp36,tp38,tp40,tp42,tp44,tp46,tp48,tp2,tp4,tp6
PF3D7_0100100.1,121.238235,129.378601,181.516388,181.817932,165.696167,125.597092,60.140068,31.831379,16.231754,13.065475,9.558969,9.452169,11.515408,17.201557,22.590082,25.134195,29.686689,23.310333,28.143251,16.789259,24.085279,49.520832,45.418949
PF3D7_0100200.1,2.896665,1.412917,3.129366,4.34026,5.910993,8.547746,5.880655,6.241172,3.092147,2.053151,0.828895,0,1.170493,1.948586,3.11544,4.894121,3.541488,1.992466,2.805933,2.085097,1.954354,2.110372,1.387222
PF3D7_0100300.1,101.598984,70.74984,61.632271,43.060268,78.488091,20.776991,43.845207,25.429922,9.690875,3.463749,2.893895,2.450269,1.170019,1.052997,0,0,0,2.183558,5.479074,5.845584,10.822006,31.660288,7.172196
PF3D7_0100400.1,0.440953,1.569134,2.214823,2.748803,5.650711,7.526945,7.296036,7.225159,4.273893,1.301685,0.798903,1.348827,1.058288,1.654404,1.426015,0.908797,1.622877,0.982644,2.713855,0.861429,0.540356,1.117387,0.826057
PF3D7_0100500.1,0,0,0,0,0,0,0,1.248045,0,0,0,3.317238,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100600.1,0,1.14078,1.776007,3.402301,5.762677,6.246774,4.647346,4.484894,1.522536,0,0.687668,0.498133,0.152211,0.328085,0.283558,0,0,0.24674,0,0,0,0.588719,0.847422
PF3D7_0100700.1,0,0,0,0,0,0,0,0.231347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100800.1,0,1.074297,3.430649,2.864601,3.134158,6.035563,3.983939,3.683958,1.771263,0.364287,1.113084,0,0.496632,0,0,0,0.306558,1.01817,0,0,0,0,0.79525
PF3D7_0100900.1,1.214705,1.719365,1.709497,4.43439,8.553564,7.653909,6.546834,10.964716,10.19803,12.286581,8.706181,4.222686,3.094527,1.182324,1.114136,0.648254,0.275501,0,0.63272,0.547032,0.615375,1.181759,1.468929
PF3D7_0101000.1,0,0.365984,2.698656,5.220026,5.201497,4.86624,5.097103,3.737213,3.253059,0.325076,1.306809,1.20995,2.196034,0.395505,0,0.823802,0.281502,0.583423,0.204503,0.425542,0,1.177581,2.047065
PF3D7_0101100.1,3.560228,2.478343,3.054265,4.595121,4.401667,5.428236,2.594607,3.705091,1.689487,1.525138,0.604742,0.494919,0,0,0,0,0.442712,0.212461,0.392715,0.98317,1.278034,2.767395,0
PF3D7_0101200.1,0,0,0,0,0,0,0.113892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101300.1,0.304539,0,1.003904,0,1.050729,4.513566,10.240165,15.794651,14.716789,16.380819,12.035942,5.896222,3.318542,1.786462,0.923467,1.427843,0.704838,0.399992,0,0.476975,0,0.658031,0
PF3D7_0101400.1,0.120066,1.281553,2.621958,1.954741,1.92102,2.645729,1.093072,0.763782,0.321375,0,0,0,0,0,0,0.158199,0.113576,0,0.079127,0.080835,0,1.226319,0.548435
PF3D7_0101500.1,0.757632,1.7864,3.876698,4.66779,4.20595,4.897121,3.971359,2.875164,1.696949,0.502723,0.686372,0.306364,0.801776,0.052723,0.398755,0.323621,0.24108,0.20922,0.033707,0.460995,0.496909,0.647427,0.586117
PF3D7_0101600.1,0,1.223802,5.666108,3.071236,5.765415,7.290921,3.830179,7.463165,4.148722,4.256214,2.815334,0.908446,1.110489,0.254687,0.513239,0,1.26366,0.467867,0.871555,0,0.663155,3.222235,5.171304
PF3D7_0101700.1,0.275473,0.360431,1.108786,1.123916,0.932766,0.80349,0.22537,0.376098,0.618003,0.092084,0.118571,0.164075,0.033182,0.034247,0,0,0.167635,0,0,0.051086,0,0.382889,0.598265
PF3D7_0101800.1,0,0.427038,1.440542,2.52192,3.819927,4.260774,1.869721,3.247587,2.690991,1.990369,1.428517,1.02287,0.566856,1.133367,0.496984,0.692252,0.791968,0.284109,0,0,1.796034,3.853276,4.088757
PF3D7_0101900.1,1.49233,4.259089,8.520018,6.345607,6.57211,8.724154,5.071807,2.584069,2.086875,2.11458,1.555305,0,0.867392,0.519816,0,0.230162,2.469899,0.627202,1.202178,4.214527,8.622466,18.054667,16.758238
PF3D7_0102000.1,0,0.531191,0.437126,0.982805,0,0.465587,0.206886,0,0,0,0,0,0,0,0,0.188845,0.385085,0.140891,0.270393,0.200718,0.465874,0.881288,0.849404
PF3D7_0102100.1,1.740873,0.373178,1.490858,0.901933,2.670522,3.377351,1.990319,1.024776,1.400807,0.132687,0.795459,0,0.598042,0.1126,0.621223,0.172441,0.37259,0.165569,0,0,1.081954,0.356851,0.38617
PF3D7_0102200.1,4083.945068,1679.733154,1188.497192,631.361328,372.270264,219.858627,106.428871,59.274086,26.680765,19.383322,16.217463,17.449156,21.057272,37.241211,76.67865,219.210281,798.552185,1632.522461,2790.892578,3063.506836,5080.944824,8560.447266,5293.654297
PF3D7_0102300.1,0.97076,1.278051,0.842772,0.630489,1.188733,1.178578,0.744606,1.662028,9.664189,24.951572,39.643791,38.532108,47.453773,36.158791,28.868574,17.474085,10.001639,9.213171,5.234271,2.938904,3.383209,3.90838,1.981209
PF3D7_0102400.1,3.348249,1.60578,1.48527,2.537556,1.661585,2.314032,1.504801,0.889584,3.488356,4.351107,6.90074,5.136998,8.060146,9.302765,7.095261,7.111879,6.515684,6.277021,7.146501,3.787005,4.808833,2.70465,2.240541
PF3D7_0102500.1,281.775787,85.072586,80.615112,49.809654,36.147003,22.858452,11.373156,7.504841,0.728954,3.164801,4.502051,7.673869,9.302752,16.389071,73.194862,266.45517,779.252991,1065.61792,1553.173584,721.256958,738.292175,833.457397,293.289154
PF3D7_0102600.1,23.274372,0,0,28.580189,74.827187,177.142105,158.814819,157.259308,52.532959,34.844303,18.56554,8.733924,6.805129,5.784468,5.630823,3.21783,0,0,3.727387,3.132909,0,7.901544,5.707249
PF3D7_0102700.1,55.976864,41.047138,26.815222,13.456078,10.304884,8.503037,5.541902,2.759345,4.409925,5.814033,4.421769,3.494377,2.23492,3.998558,4.235984,6.823177,19.506382,40.559212,35.818996,63.791649,98.510773,126.185791,88.830154
PF3D7_0102800.1,1.016273,0.858227,0.352703,0.13215,0.252989,0.313363,0.196687,0.213664,1.231794,1.409449,2.205099,2.531429,3.04719,3.055087,2.39843,1.931909,1.163124,0.808318,0.644194,0.263932,0.308403,0.233785,0.131551
PF3D7_0102900.1,28.945076,20.461275,28.535,30.974375,28.76321,19.411192,35.634632,44.886105,45.896526,71.220924,60.600735,40.695309,56.562378,42.58963,29.709755,13.934428,11.059572,6.125336,11.481265,8.190578,2.46046,9.913895,8.069351
PF3D7_0103000.1,0,0,0,0,0,0,0.151326,0,0.01501,1.474509,1.883413,0.053993,3.488092,5.177327,2.042621,0.801078,0.404651,0.430876,3.014335,1.756213,0,1.256003,0
PF3D7_0103100.1,1.35311,1.224536,1.892721,1.24826,0.859275,0.277442,0.352227,2.067138,0.368867,8.196139,8.704599,1.754464,13.547393,15.066993,11.733294,3.650004,2.015125,1.103587,7.301433,4.4096,1.281088,2.462882,0.611739
PF3D7_0103200.1,22.293421,18.785208,31.728956,36.756462,46.085644,71.226845,78.591934,114.351036,146.275055,171.392685,176.712463,127.558678,158.996582,106.430931,86.365601,64.578232,38.480022,22.795139,23.317833,14.315058,13.873237,16.707237,16.167198
PF3D7_0103300.1,23.262205,20.522514,29.288055,29.323486,28.356554,31.68479,21.964159,19.491432,21.226719,22.290237,19.72061,23.285686,23.602047,17.942844,18.685455,18.291559,23.39879,16.711285,21.771397,9.947492,9.192329,15.40027,7.457877
PF3D7_0103400.1,18.888617,5.464061,8.023387,7.193576,7.858505,10.215449,12.305477,15.706746,37.15184,47.241684,38.010582,38.946392,46.363998,29.053871,35.725182,46.855606,49.951523,51.178249,61.567532,29.790747,30.455414,38.911102,13.550163
PF3D7_0103500.1,1.471338,0.641279,0.927628,0.89286,1.160155,1.139299,1.086662,0.712319,4.165239,5.279626,5.070721,4.10331,5.686782,3.864577,3.365583,3.452373,2.206531,1.622259,2.409365,0.721608,0.618019,0.926258,0.407844
PF3D7_0103600.1,1.189969,0.768323,1.45762,0.972773,1.274292,1.975824,1.495519,3.002922,5.060784,5.619786,5.616616,5.141418,5.883729,4.860556,4.366792,3.224366,3.352546,1.543119,1.715151,0.403706,0.793181,0.514979,0.507927
PF3D7_0103700.1,1.779281,1.201892,1.961942,3.171156,3.854195,2.375706,3.831626,2.721276,2.575482,3.87131,5.180979,3.8329,5.021982,2.740826,1.952667,2.5105,2.1282,0.991172,1.421385,1.12487,1.005216,1.478062,0.960118
PF3D7_0103800.1,2.927799,1.598228,3.381899,2.630711,3.072604,3.439904,2.022348,1.027767,2.418924,2.916291,3.51613,6.969696,8.201592,15.86785,24.386812,21.972095,29.24901,18.106327,19.534933,7.12002,8.429098,9.517241,2.771788
PF3D7_0103900.1,1.453681,0.621316,1.511313,0.984438,1.650484,2.374713,1.764187,2.971125,7.3653,11.324704,13.778009,11.617356,17.185268,12.149613,10.401782,11.291633,6.390916,4.103436,2.26581,2.117071,1.008012,0.802286,0.780976
PF3D7_0104000.1,0,0,0,2.470242,0,3.919895,3.060659,0.611898,1.94706,0,0.782429,0,1.466881,4.146285,4.636784,2.802221,2.773822,0,3.644834,0,0,0,0.877585
PF3D7_0104100.1,0.784307,0.268088,1.194222,0.479834,0.55853,0.838423,0.417908,0.401697,0.452039,0.502201,1.147425,1.995434,4.767323,7.273812,10.31329,10.897455,13.077997,9.246554,8.564221,4.124965,3.361585,2.169304,1.16206
PF3D7_0104200.1,84.377197,23.072775,24.458981,14.509685,14.806969,19.125257,25.879057,39.076118,58.390045,66.836761,63.196926,66.644028,72.554489,69.228958,87.150085,149.307938,208.850067,253.559174,361.112244,244.524063,219.122559,267.445404,96.95813
PF3D7_0104300.1,115.877869,55.029892,62.866871,62.108669,55.397667,52.760422,37.419739,36.204681,32.9664,35.484257,27.321651,26.140043,26.232082,20.842262,22.913357,29.845362,67.329544,97.229538,161.543991,85.088112,107.877052,165.115707,77.856194
PF3D7_0104400.1,0.576785,0.684409,0.293754,0.503516,0.582552,1.529706,2.085109,8.003703,9.71277,15.694375,18.782536,15.890148,18.534849,19.471783,16.233034,15.245051,7.38444,2.564601,1.932858,2.53086,1.066324,0.889525,0.654124
PF3D7_0104500.1,10.763351,6.601466,14.969748,12.899936,13.162321,14.338158,13.218534,16.012577,24.45554,31.914368,26.138454,21.189936,18.160505,12.879146,9.805894,7.664707,5.463027,2.222498,2.646271,2.168757,3.419575,5.424198,2.590807
PF3D7_0104600.1,1.42556,1.204791,1.924566,2.139652,3.213357,2.97336,2.011857,2.595725,2.728566,4.885433,3.187512,2.663466,2.443109,2.46891,2.211879,1.719517,0.759995,0.819763,0.864758,0.276107,0.702704,0.810801,0.510722
PF3D7_0104700.1,0.210624,0.332057,0.672056,0.452797,0.906304,0.850639,0.706928,0.092102,0.140645,0.085201,0.187255,0.161022,0.062361,0.144481,0.261605,0.089125,0.108643,0,0,0,0.493696,0.022147,0.355078
PF3D7_0104800.1,4.951456,1.361444,0.920975,1.331678,1.62779,1.484962,2.135793,3.653823,14.936275,25.696209,33.381569,34.329273,48.384239,43.894016,40.080711,43.924702,51.582916,41.360786,42.464535,32.718632,23.149057,19.046644,7.301316
PF3D7_0104900.1,637.671509,547.702515,721.063538,599.815186,704.48468,372.184235,578.060547,302.047241,335.537659,257.306763,349.763977,333.700439,401.982025,488.43396,423.087189,626.033081,517.481384,636.831177,430.047577,808.334412,748.940857,800.360535,818.498535
PF3D7_0105000.1,25.954641,26.131489,27.665516,24.305243,27.151579,37.610168,32.854771,27.605619,43.006409,42.040649,45.444004,41.281475,47.135162,45.347832,33.088886,31.531738,33.686371,37.921013,40.673752,40.062668,27.362291,46.000591,35.081924
PF3D7_0105100.1,0,0.533571,1.306073,0.194956,1.82904,0.731856,0.348187,0.370318,3.351728,4.978743,5.880318,11.137321,10.914152,10.508921,6.563488,7.91458,3.236919,3.378985,1.767416,2.327368,0.950017,2.119612,0.760681
PF3D7_0105200.1,2.796,2.233831,2.293742,2.452624,3.035296,4.213124,7.916083,0.005596,24.271563,28.9573,32.353695,28.683256,24.857889,16.948887,14.828375,16.469463,13.181204,9.453335,8.911276,4.124974,2.715126,3.379475,2.059372
PF3D7_0105300.1,0.210658,0,0,1.216002,0,0,0,0.03638,1.023468,0,2.904744,4.443606,7.025508,13.915771,18.355547,28.020817,21.900667,29.096981,24.222166,8.847251,5.088809,7.502885,3.285029
PF3D7_0105400.1,0,0,0,0,0,0,0.444484,0.038469,0,0,0.061492,0.161082,0.053116,1.193205,1.491647,7.07231,5.890598,13.274909,7.528933,4.249529,2.583028,2.666274,0.790713
PF3D7_0105400.2,0,0,0,0,0,0,0,0,0,0,0,0.341556,0.240474,1.38906,2.382277,7.669334,5.267612,10.197739,7.441523,4.332804,2.683687,0.354915,0.149317
PF3D7_0105500.1,2.743201,2.162327,1.735203,1.415056,0.464031,4.019144,1.822283,2.970587,8.197253,16.410328,16.336208,17.435905,18.040644,11.627771,9.125051,7.01862,5.889727,4.874788,1.587652,2.825503,1.020426,1.730939,0.480904
PF3D7_0105600.1,16.929899,8.830722,14.664119,16.225439,15.188959,19.976824,15.917526,17.115236,18.083736,23.616428,21.443939,22.709372,23.259235,18.815796,17.449995,13.256749,9.429763,5.003515,4.848823,2.870557,2.234474,4.144202,3.457234
PF3D7_0105700.1,3.372324,2.290568,3.242265,3.701641,3.26183,3.449499,2.27837,2.982568,11.297256,18.053619,19.126816,20.786318,21.803493,16.704243,19.528673,17.045792,17.679468,9.936455,10.883772,3.135702,2.795177,4.189458,2.040411
PF3D7_0105800.1,3.544662,0.971168,2.172807,2.198523,1.659402,1.687726,1.521582,1.843191,7.437852,14.244418,17.089441,24.137289,30.811846,35.585518,44.484882,54.253117,47.908501,36.446445,32.406288,15.317766,9.534493,10.43579,4.428004
PF3D7_0105900.1,0.171699,0.405285,0.648835,0.338058,0.146425,0.397414,0.21699,0.300996,1.600526,2.542073,3.864951,3.830464,4.315747,4.651783,4.254467,4.243263,4.837718,3.768009,3.025618,1.576706,1.416659,0.937427,0.883422
PF3D7_0106000.1,2.643574,1.493973,0.803191,1.895741,1.505651,1.406611,1.428879,1.156824,3.75116,6.785267,8.734878,9.685363,14.819409,20.906364,30.385796,47.031246,40.17725,35.120605,30.49609,15.932733,8.868665,11.913478,3.837973
PF3D7_0106100.1,19.869722,8.821617,15.149859,14.843965,13.588541,15.517693,23.409113,22.176731,23.51685,31.494574,33.552349,36.353012,39.253849,33.86277,29.234289,35.046341,31.412764,19.470852,13.299763,11.147595,8.698596,12.477922,6.933715
PF3D7_0106200.1,1.695068,0.443553,0,0,0.070577,0,0.15989,0.106189,0.640126,0.741686,1.704502,1.79321,1.799066,4.261635,6.486422,5.024199,3.880003,4.019462,3.608943,2.629191,0.605498,1.420126,0.663071
PF3D7_0106300.1,108.872009,105.410866,110.080025,107.749863,110.858322,109.197243,88.971069,87.347092,118.781853,138.13385,138.618423,137.900665,184.502609,180.017853,189.547531,196.408936,164.822906,105.447525,114.421089,58.93066,53.577854,83.868073,59.431847
PF3D7_0106400.1,30.915966,26.73069,35.438702,24.856977,25.562429,35.167976,34.235134,32.483097,39.420128,30.439684,34.554668,24.346193,19.001532,10.411077,6.539557,7.764909,3.760613,4.099115,2.835275,4.680864,6.181939,7.031538,9.857501
PF3D7_0106500.1,1.435901,0.566778,1.068407,0.969731,0.949431,0.599605,0.384701,0.355459,0.835522,1.545045,1.862901,3.576363,4.667263,4.541236,4.903062,4.880815,4.551996,3.17978,2.130815,1.092502,0.996092,0.908281,0.313137
PF3D7_0106600.1,0,0.661889,0.874203,0.153857,2.731329,0.739228,0.319631,0.742975,0.210005,0.105186,0,0.171665,0.108359,0.357295,0.133311,1.072173,0.396126,0.282629,1.232903,0.702084,0.161274,0.339152,0.257875
PF3D7_0106700.1,111.074348,66.709686,73.322266,77.471413,76.637062,83.016823,61.343872,74.344177,76.959572,81.503372,57.500374,58.539886,51.692917,32.516533,35.244946,28.856152,37.157505,22.62303,30.324961,15.026027,17.997135,33.90382,23.966152
PF3D7_0106800.1,4.086815,3.569849,2.452049,2.514855,4.111801,4.253535,10.030404,17.107843,41.341797,53.674488,78.703094,83.028091,122.328209,139.870911,124.882294,133.296875,91.304955,67.718338,54.574184,37.414059,19.863333,19.987745,8.221581
PF3D7_0106900.1,0.454618,0.145119,0.334998,0.329214,0.431231,0.624684,0.153984,0.300023,0.674847,1.031312,1.799004,2.061853,2.780678,3.056524,2.90959,3.038387,2.644379,1.415677,1.353088,0.915914,0.232142,0.367565,0.382163
PF3D7_0107000.1,12.403336,7.684761,7.416874,8.417356,8.71215,8.335597,7.589586,12.363359,42.058216,101.650658,128.570541,188.73175,254.722794,263.433258,281.982117,231.552628,202.564636,122.54361,63.053745,51.076012,31.220411,27.712557,15.582357
PF3D7_0107100.1,0.647348,0.359704,0.193226,0.682832,0.606865,0.389534,0.70302,0.765104,3.428937,4.296988,6.134805,4.657982,6.295371,2.906979,3.869472,1.295936,1.577048,0.92688,0.70833,0.618432,0.299873,0.754892,0.153745
PF3D7_0107200.1,0,0.963061,0,0,1.212415,1.170766,1.064018,4.033401,8.430647,18.007399,19.232979,19.222603,18.102728,15.683926,7.143589,5.862187,4.362683,2.970075,2.319386,2.480416,0.67405,0.849723,1.164826
PF3D7_0107300.1,0,0,0,0,0,1.535599,0,0,1.12127,0,0,0,0,1.367613,0,0,0,0,0,0,0,0,0.599056
PF3D7_0107400.1,0.223856,0.076379,0.2079,0.323555,0.190097,0.446556,0.037344,0.261114,1.393617,1.803694,4.088405,3.996861,5.152474,4.520276,3.434083,2.357257,3.791956,1.461006,1.716076,0.972137,0.540048,0.37214,0.359599
PF3D7_0107500.1,240.335968,157.047318,143.451508,143.125305,136.468216,139.790115,111.774834,107.281761,114.076538,115.458298,98.901421,92.188835,77.112045,56.342079,51.545002,61.338375,102.103973,147.381546,258.678955,216.637589,226.197372,313.713348,167.207748
PF3D7_0107600.1,0.424647,0.119704,0.253041,0.273796,0.41317,0.217201,0.230761,0.194813,0.119679,0.022041,0.089413,0.131284,0.078286,0.038755,0.047528,0.069837,0.055796,0.189726,0.208454,0.139068,0.128836,0.282671,0.131018
PF3D7_0107700.1,0.064082,0.102959,0.674173,0.301838,0,0.070025,0.326811,0.35342,1.248457,2.726414,3.467193,2.482522,3.635609,1.931998,1.672411,1.834438,1.13809,1.189479,0.43313,1.005842,0,0.456078,0.282138
PF3D7_0107800.1,0.83545,0.787022,0.703644,0.834512,0.606568,0.767546,1.340865,1.240399,3.849073,4.793655,6.106129,5.680131,7.325078,4.897902,5.344396,5.28932,3.43391,1.939668,1.643752,0.349508,0.597257,0.525997,0.088689
PF3D7_0107900.1,0.3538,1.152959,5.490088,4.91122,5.224873,11.212529,12.526875,14.122503,16.242338,20.326559,19.132975,20.959286,19.380821,18.452452,13.820918,11.061888,6.951157,4.214187,4.040731,0.922333,1.241104,1.786155,0.948018
PF3D7_0108000.1,97.305885,61.095936,81.911346,67.11924,85.2286,130.024994,105.051071,156.67363,199.707321,313.559296,305.089966,358.090393,420.127533,427.862579,460.372559,361.290344,284.888367,180.73613,170.743927,87.144943,66.381821,63.747475,46.078384
PF3D7_0108100.1,0.787536,1.106493,1.504485,0.900016,0.724788,1.054521,1.658929,1.952524,4.06038,7.447717,5.985476,8.69663,9.540291,9.171954,8.224878,7.663096,7.630945,3.628601,3.168338,1.427411,1.148209,1.817337,1.307053
PF3D7_0108300.1,221.557816,141.824493,170.570297,191.963715,210.496536,236.356705,168.422028,187.154144,196.164261,208.134201,152.009308,167.785294,158.170898,118.189453,133.344986,127.318596,161.531296,124.270271,169.979309,75.690742,94.70195,178.548981,103.057472
PF3D7_0108400.1,13.269094,0,5.698671,5.067861,7.257028,9.090711,9.103206,0,14.589522,13.949505,10.813858,11.638615,10.896686,8.644746,9.218436,0,6.050179,4.137064,6.11286,5.959111,10.985225,16.896715,10.638806
PF3D7_0108400.2,0,0.627336,0.979214,0,0,0.170283,0,1.115978,0.848839,0.224914,0.154886,0.256349,0.011365,0.100208,0.198887,0,0,0.196755,0,0.161897,0,1.084716,0.022724
PF3D7_0108500.1,652.914062,364.866974,343.530945,224.915726,190.553513,131.744049,86.312012,77.844482,39.016556,29.913334,22.549469,21.216282,17.51342,18.507954,28.814528,58.158081,142.455627,271.444855,446.795837,457.746857,844.687256,1081.099731,573.878845
PF3D7_0108600.1,6.575708,1.369613,2.249221,3.661533,5.914052,4.756801,3.678617,2.631299,5.3915,7.435937,10.852912,16.288248,14.164117,13.898635,10.979087,8.961893,7.947873,4.944691,5.935789,2.711651,1.444674,2.380839,3.359783
PF3D7_0108700.1,31.632839,25.321772,37.272148,36.41655,42.18111,42.194847,31.382229,28.119007,33.24638,39.520832,39.765869,47.437199,57.886936,54.398964,60.071712,53.431522,49.935753,24.964094,27.985258,9.268975,9.730563,15.537948,9.707456
PF3D7_0108800.1,5.49045,5.538174,6.175946,9.094212,9.193098,17.923002,12.143146,12.496953,16.167093,20.173306,21.355064,21.123075,23.068983,21.58066,16.277325,12.493099,11.92781,8.740922,8.609169,4.045745,4.284102,7.105076,4.124982
PF3D7_0108900.1,0.591515,0.304231,1.060634,0.002355,0.251789,0,0,0,0,0.025829,0.003364,0,0,0.193028,0.973858,1.139807,4.369613,2.491829,0.193985,3.440721,0.326943,2.717273,3.668457
PF3D7_0109000.1,14.585048,9.125377,27.072422,37.058941,31.351271,21.371086,0,9.008489,0.050065,6.902804,7.282744,11.568975,10.284616,11.431964,27.949331,9.592421,566.038574,730.085388,542.578064,709.724365,21.078074,677.834595,235.52269
PF3D7_0109100.1,9.999204,2.831408,2.796937,0,0,1.724626,1.750053,1.043285,0,0,0,0,0.349773,0.979936,3.498563,8.834742,18.714321,19.619883,25.812929,15.35286,15.067095,20.562275,6.535145
PF3D7_0109200.1,3.553028,4.467947,5.672074,7.537888,8.078932,15.803853,13.465571,17.425064,24.867794,33.546711,35.099659,39.916508,43.553249,35.159744,30.918198,23.753593,18.657049,10.201132,10.614033,4.390512,3.036368,3.733835,2.204045
PF3D7_0109300.1,0,0.470058,0,0.380046,0,0,0.275286,0,0.262539,0.354856,0,0.625305,1.163267,0.408607,0.480878,0,0.323226,0.50972,0.301962,0.302906,0.266082,0.398712,0
PF3D7_0109400.1,4.769782,4.153494,4.172963,2.484547,2.845707,5.063152,5.718033,10.8717,28.889681,39.363071,33.846416,30.59091,29.595543,14.998513,13.718393,11.027555,9.198386,5.315154,3.994091,4.313808,3.676149,2.935749,2.035511
PF3D7_0109500.1,24.551832,32.638584,46.296085,49.691246,54.572571,66.566162,55.533237,52.848625,45.545128,48.209526,46.985516,40.115158,43.169216,34.303043,34.453506,30.634844,21.649448,14.051388,12.451363,9.703807,10.764714,14.964305,17.373037
PF3D7_0109600.1,4.230737,1.048286,2.110605,0.948345,1.268578,1.201907,1.616861,2.457258,4.364111,6.548599,10.436899,11.105566,10.577234,2.191404,2.202805,3.645491,4.033755,0.860461,2.255423,3.044861,1.016287,1.132973,1.803496
PF3D7_0109700.1,6.146475,2.944061,5.900613,4.339892,5.966249,4.075128,3.204,1.930541,1.884016,1.943991,2.469616,1.56159,1.035417,1.249258,0.832529,0.55602,0.095873,0.186293,0.44465,0.264898,0.60205,1.161804,1.165469
PF3D7_0109800.1,91.455475,32.336876,87.373741,72.428337,73.701035,82.493637,62.042515,45.637897,58.370701,55.50053,69.650436,62.943638,77.614182,13.898617,48.755268,43.45454,19.086306,18.324387,21.195004,16.69298,21.058983,40.314564,25.602169
PF3D7_0109850.1,0,0,0,0,0,0,0,0,0,0,0,0.214931,4.825069,0,0,4.289799,5.299668,0,0,0,0,0,0
PF3D7_0109950.1,0,0,0,0,0,7.170807,0,0,5.090398,2.935241,12.685404,5.889184,20.235052,19.204151,0,10.116533,0,0,1.01595,1.061274,0,0,0
PF3D7_0110000.1,0.039107,0.343737,1.38862,0.361134,0.319034,1.407453,0.339686,0.264108,2.27562,1.251248,2.62893,2.21448,3.374715,2.731155,0.081993,1.574853,1.187103,0.06324,0.422143,0.139099,0.002359,0.192286,0.045001
PF3D7_0110100.1,3.801835,5.061389,5.089865,5.649296,4.857602,5.922728,3.563675,3.352612,2.87146,3.402402,4.172369,4.648065,4.818172,2.411327,2.353838,1.858132,0.855932,0.476732,0.302657,0.397094,0.38833,0.81557,0.656937
PF3D7_0110200.1,0.667958,0.9038,2.376528,3.561167,2.362693,2.979842,1.574377,3.930496,2.405151,3.206163,4.79846,4.386312,5.302403,4.315398,2.929042,4.251436,2.290504,1.193306,1.315234,0.390669,0.798738,0.349703,1.09589
PF3D7_0110300.1,1.25886,0.851925,0.648935,2.15132,1.424779,3.031261,0.861935,0.651182,0.327973,0.550834,0.90266,0,0.08498,0.343947,0.078258,0.351695,0.448234,0,0.358189,0,0,0,0.088594
PF3D7_0110400.1,28.999413,23.090595,49.302898,41.240005,32.184959,36.017418,35.634342,25.062256,26.591864,29.861746,29.363871,24.13035,31.619383,25.110893,24.625059,20.660336,14.984056,8.20696,7.911969,6.121003,11.122679,14.780841,12.592455
PF3D7_0110500.1,10.157425,2.195839,8.268147,5.850544,13.173825,1.910124,13.002773,17.8323,9.169335,33.1894,9.020387,27.327808,27.88199,16.429077,18.283974,14.672642,14.556246,8.414156,9.467153,3.982858,2.304193,6.48071,3.569167
PF3D7_0110600.1,87.796913,62.240662,69.988167,54.606453,55.335583,57.844376,40.667397,38.203217,32.148548,45.861324,45.009571,30.54954,43.792648,30.622423,37.101254,35.601624,37.985008,40.150909,61.336861,35.368904,33.080402,56.964111,30.167915
PF3D7_0110700.1,13.345181,6.430892,6.814636,5.467746,5.161395,4.637285,4.376515,8.92751,35.581036,49.773262,57.669373,53.614262,54.70615,39.55761,28.180073,22.360956,15.384768,12.202945,11.600213,6.600827,6.19447,5.398438,4.327489
PF3D7_0110800.1,49.968487,33.652916,37.401218,35.767673,33.621197,48.605911,35.543926,39.216244,57.693451,69.341309,8.85821,44.264027,50.67371,23.024488,31.813173,29.661646,37.226036,44.427765,52.587963,34.349228,37.119888,38.860878,24.249289
PF3D7_0110900.1,1.304419,0.744443,1.083547,1.963112,3.148183,2.601526,3.517797,4.526334,4.863054,5.500282,4.904284,3.204575,4.852127,1.103946,1.249805,1.88388,0.45916,0.377668,0.72705,0.480422,0.060899,0.000225,0.620012
PF3D7_0111000.1,1.798377,0.702717,0,0,0.824272,0,0.245528,0.664297,2.138889,5.185522,0,7.118886,6.797633,15.98184,18.780542,13.431841,0.099512,5.244783,13.982604,0.974098,3.70591,0,0
PF3D7_0111200.1,0,0,0,0,1.15876,0,0,0,2.564162,4.200661,3.720715,9.227552,7.071673,6.380849,7.200917,4.054031,0,0,1.690226,0,0,0,0
PF3D7_0111300.1,1.392401,1.113041,0.982158,0.902736,0.9013,1.325791,1.137528,2.813218,7.68482,12.22772,14.131695,16.985893,20.107031,17.966732,17.81521,16.774183,12.202081,8.935724,5.885391,2.690399,1.629742,1.437015,0.80225
PF3D7_0111400.1,0.032878,0.028648,0.085118,0.137829,0.039725,0.059214,0.004557,0.14633,0.088897,0.357709,0.397615,0.375405,0.623104,0.456907,0.461649,0.383927,0.44969,0.197248,0.122321,0.113512,0.095547,0.0719,0.013407
PF3D7_0111500.1,8.064276,3.814361,6.285592,4.229612,2.865256,3.278183,5.295387,10.882335,30.879744,62.425236,63.718334,65.274811,71.829712,86.186043,119.91851,138.800308,174.23558,161.588852,141.492126,87.661263,60.486061,43.623383,17.249743
